"variable name","field length"
"NCESSCH","12"
"STID00","14"
"SEASCH00","20"
"LEANM00","60"
"SCHNAM00","50"
"PHONE00","10"
"MSTREE00","30"
"MCITY00","30"
"MSTATE00","2"
"MZIP00","5"
"MZIP400","4"
"LSTREE00","30"
"LCITY00","30"
"LSTATE00","2"
"LZIP00","5"
"LZIP400","4"
"TYPE00","1"
"STATUS00","1"
"LOCALE00","1"
"LATCOD00","10"
"LONCOD00","10"
"FTE00","5*"
"GSLO00","2"
"GSHI00","2"
"LEVEL00","1"
"TITLEI00","1"
"STITLI00","1"
"MAGNET00","1"
"CHARTR00","1"
"FRELCH00","4"
"REDLCH00","4"
"TOTFRL00","4"
"MIGRNT00","4"
"PK00","4"
"AMPKM00","4"
"AMPKF00","4"
"AMPKU00","4"
"ASPKM00","4"
"ASPKF00","4"
"ASPKU00","4"
"HIPKM00","4"
"HIPKF00","4"
"HIPKU00","4"
"BLPKM00","4"
"BLPKF00","4"
"BLPKU00","4"
"WHPKM00","4"
"WHPKF00","4"
"WHPKU00","4"
"KG00","4"
"AMKGM00","4"
"AMKGF00","4"
"AMKGU00","4"
"ASKGM00","4"
"ASKGF00","4"
"ASKGU00","4"
"HIKGM00","4"
"HIKGF00","4"
"HIKGU00","4"
"BLKGM00","4"
"BLKGF00","4"
"BLKGU00","4"
"WHKGM00","4"
"WHKGF00","4"
"WHKGU00","4"
"G0100","4"
"AM01M00","4"
"AM01F00","4"
"AM01U00","4"
"AS01M00","4"
"AS01F00","4"
"AS01U00","4"
"HI01M00","4"
"HI01F00","4"
"HI01U00","4"
"BL01M00","4"
"BL01F00","4"
"BL01U00","4"
"WH01M00","4"
"WH01F00","4"
"WH01U00","4"
"G0200","4"
"AM02M00","4"
"AM02F00","4"
"AM02U00","4"
"AS02M00","4"
"AS02F00","4"
"AS02U00","4"
"HI02M00","4"
"HI02F00","4"
"HI02U00","4"
"BL02M00","4"
"BL02F00","4"
"BL02U00","4"
"WH02M00","4"
"WH02F00","4"
"WH02U00","4"
"G0300","4"
"AM03M00","4"
"AM03F00","4"
"AM03U00","4"
"AS03M00","4"
"AS03F00","4"
"AS03U00","4"
"HI03M00","4"
"HI03F00","4"
"HI03U00","4"
"BL03M00","4"
"BL03F00","4"
"BL03U00","4"
"WH03M00","4"
"WH03F00","4"
"WH03U00","4"
"G0400","4"
"AM04M00","4"
"AM04F00","4"
"AM04U00","4"
"AS04M00","4"
"AS04F00","4"
"AS04U00","4"
"HI04M00","4"
"HI04F00","4"
"HI04U00","4"
"BL04M00","4"
"BL04F00","4"
"BL04U00","4"
"WH04M00","4"
"WH04F00","4"
"WH04U00","4"
"G0500","4"
"AM05M00","4"
"AM05F00","4"
"AM05U00","4"
"AS05M00","4"
"AS05F00","4"
"AS05U00","4"
"HI05M00","4"
"HI05F00","4"
"HI05U00","4"
"BL05M00","4"
"BL05F00","4"
"BL05U00","4"
"WH05M00","4"
"WH05F00","4"
"WH05U00","4"
