"variable name","field length"
"NCESSCH","12"
"LEANM98","60"
"SCHNAM98","50"
"PHONE98","10"
"MSTREE98","30"
"MCITY98","30"
"MSTATE98","2"
"MZIP98","5"
"MZIP498","4"
"LSTREE98","30"
"LCITY98","30"
"LSTATE98","2"
"LZIP98","5"
"LZIP498","4"
"TYPE98","1"
"STATUS98","1"
"LOCALE98","1"
"FTE98","5*"
"GSLO98","2"
"GSHI98","2"
"TITLEI98","1"
"STITLI98","1"
"MAGNET98","1"
"CHARTR98","1"
"FRELCH98","4"
"REDLCH98","4"
"TOTFRL98","4"
"MIGRNT98","4"
"PK98","4"
"AMPKM98","4"
"AMPKF98","4"
"AMPKU98","4"
"ASPKM98","4"
"ASPKF98","4"
"ASPKU98","4"
"HIPKM98","4"
"HIPKF98","4"
"HIPKU98","4"
"BLPKM98","4"
"BLPKF98","4"
"BLPKU98","4"
"WHPKM98","4"
"WHPKF98","4"
"WHPKU98","4"
"KG98","4"
"AMKGM98","4"
"AMKGF98","4"
"AMKGU98","4"
"ASKGM98","4"
"ASKGF98","4"
"ASKGU98","4"
"HIKGM98","4"
"HIKGF98","4"
"HIKGU98","4"
"BLKGM98","4"
"BLKGF98","4"
"BLKGU98","4"
"WHKGM98","4"
"WHKGF98","4"
"WHKGU98","4"
"G0198","4"
"AM01M98","4"
"AM01F98","4"
"AM01U98","4"
"AS01M98","4"
"AS01F98","4"
"AS01U98","4"
"HI01M98","4"
"HI01F98","4"
"HI01U98","4"
"BL01M98","4"
"BL01F98","4"
"BL01U98","4"
"WH01M98","4"
"WH01F98","4"
"WH01U98","4"
"G0298","4"
"AM02M98","4"
"AM02F98","4"
"AM02U98","4"
"AS02M98","4"
"AS02F98","4"
"AS02U98","4"
"HI02M98","4"
"HI02F98","4"
"HI02U98","4"
"BL02M98","4"
"BL02F98","4"
"BL02U98","4"
"WH02M98","4"
"WH02F98","4"
"WH02U98","4"
"G0398","4"
"AM03M98","4"
"AM03F98","4"
"AM03U98","4"
"AS03M98","4"
"AS03F98","4"
"AS03U98","4"
"HI03M98","4"
"HI03F98","4"
"HI03U98","4"
"BL03M98","4"
"BL03F98","4"
"BL03U98","4"
"WH03M98","4"
"WH03F98","4"
"WH03U98","4"
"G0498","4"
"AM04M98","4"
"AM04F98","4"
"AM04U98","4"
"AS04M98","4"
"AS04F98","4"
"AS04U98","4"
"HI04M98","4"
"HI04F98","4"
"HI04U98","4"
"BL04M98","4"
"BL04F98","4"
"BL04U98","4"
"WH04M98","4"
"WH04F98","4"
"WH04U98","4"
"G0598","4"
