"variable name","field length"
"ITITLI03","1"
"ISTITL03","1"
"IMAGNE03","1"
"ICHART03","1"
"IFRELC03","1"
"IREDLC03","1"
"ITOTFR03","1"
"IMIGRN03","1"
"IPK03","1"
"IAMPKM03","1"
"IAMPKF03","1"
"IAMPKU03","1"
"IASPKM03","1"
"IASPKF03","1"
"IASPKU03","1"
"IHIPKM03","1"
"IHIPKF03","1"
"IHIPKU03","1"
"IBLPKM03","1"
"IBLPKF03","1"
"IBLPKU03","1"
"IWHPKM03","1"
"IWHPKF03","1"
"IWHPKU03","1"
"IKG03","1"
"IAMKGM03","1"
"IAMKGF03","1"
"IAMKGU03","1"
"IASKGM03","1"
"IASKGF03","1"
"IASKGU03","1"
"IHIKGM03","1"
"IHIKGF03","1"
"IHIKGU03","1"
"IBLKGM03","1"
"IBLKGF03","1"
"IBLKGU03","1"
"IWHKGM03","1"
"IWHKGF03","1"
"IWHKGU03","1"
"IG0103","1"
"IAM01M03","1"
"IAM01F03","1"
"IAM01U03","1"
"IAS01M03","1"
"IAS01F03","1"
"IAS01U03","1"
"IHI01M03","1"
"IHI01F03","1"
"IHI01U03","1"
"IBL01M03","1"
"IBL01F03","1"
"IBL01U03","1"
"IWH01M03","1"
"IWH01F03","1"
"IWH01U03","1"
"IG0203","1"
"IAM02M03","1"
"IAM02F03","1"
"IAM02U03","1"
"IAS02M03","1"
"IAS02F03","1"
"IAS02U03","1"
"IHI02M03","1"
"IHI02F03","1"
"IHI02U03","1"
"IBL02M03","1"
"IBL02F03","1"
"IBL02U03","1"
"IWH02M03","1"
"IWH02F03","1"
"IWH02U03","1"
"IG0303","1"
"IAM03M03","1"
"IAM03F03","1"
"IAM03U03","1"
"IAS03M03","1"
"IAS03F03","1"
"IAS03U03","1"
"IHI03M03","1"
"IHI03F03","1"
"IHI03U03","1"
"IBL03M03","1"
"IBL03F03","1"
"IBL03U03","1"
"IWH03M03","1"
"IWH03F03","1"
"IWH03U03","1"
"IG0403","1"
"IAM04M03","1"
"IAM04F03","1"
"IAM04U03","1"
"IAS04M03","1"
"IAS04F03","1"
"IAS04U03","1"
"IHI04M03","1"
"IHI04F03","1"
"IHI04U03","1"
"IBL04M03","1"
"IBL04F03","1"
"IBL04U03","1"
"IWH04M03","1"
"IWH04F03","1"
"IWH04U03","1"
"IG0503","1"
"IAM05M03","1"
"IAM05F03","1"
"IAM05U03","1"
"IAS05M03","1"
"IAS05F03","1"
"IAS05U03","1"
"IHI05M03","1"
"IHI05F03","1"
"IHI05U03","1"
"IBL05M03","1"
"IBL05F03","1"
"IBL05U03","1"
"IWH05M03","1"
"IWH05F03","1"
"IWH05U03","1"
"IG0603","1"
"IAM06M03","1"
"IAM06F03","1"
"IAM06U03","1"
"IAS06M03","1"
"IAS06F03","1"
"IAS06U03","1"
"IHI06M03","1"
"IHI06F03","1"
"IHI06U03","1"
"IBL06M03","1"
"IBL06F03","1"
"IBL06U03","1"
"IWH06M03","1"
"IWH06F03","1"
"IWH06U03","1"
"IG0703","1"
"IAM07M03","1"
"IAM07F03","1"
"IAM07U03","1"
"IAS07M03","1"
"IAS07F03","1"
"IAS07U03","1"
"IHI07M03","1"
"IHI07F03","1"
"IHI07U03","1"
"IBL07M03","1"
"IBL07F03","1"
"IBL07U03","1"
"IWH07M03","1"
"IWH07F03","1"
"IWH07U03","1"
"IG0803","1"
"IAM08M03","1"
"IAM08F03","1"
"IAM08U03","1"
"IAS08M03","1"
"IAS08F03","1"
"IAS08U03","1"
"IHI08M03","1"
"IHI08F03","1"
"IHI08U03","1"
"IBL08M03","1"
"IBL08F03","1"
"IBL08U03","1"
"IWH08M03","1"
"IWH08F03","1"
"IWH08U03","1"
"IG0903","1"
"IAM09M03","1"
"IAM09F03","1"
"IAM09U03","1"
"IAS09M03","1"
"IAS09F03","1"
"IAS09U03","1"
"IHI09M03","1"
"IHI09F03","1"
"IHI09U03","1"
"IBL09M03","1"
"IBL09F03","1"
"IBL09U03","1"
"IWH09M03","1"
"IWH09F03","1"
"IWH09U03","1"
"IG1003","1"
"IAM10M03","1"
"IAM10F03","1"
"IAM10U03","1"
"IAS10M03","1"
"IAS10F03","1"
"IAS10U03","1"
"IHI10M03","1"
"IHI10F03","1"
"IHI10U03","1"
"IBL10M03","1"
"IBL10F03","1"
"IBL10U03","1"
"IWH10M03","1"
"IWH10F03","1"
"IWH10U03","1"
"IG1103","1"
"IAM11M03","1"
"IAM11F03","1"
"IAM11U03","1"
"IAS11M03","1"
"IAS11F03","1"
"IAS11U03","1"
"IHI11M03","1"
"IHI11F03","1"
"IHI11U03","1"
"IBL11M03","1"
"IBL11F03","1"
"IBL11U03","1"
"IWH11M03","1"
"IWH11F03","1"
"IWH11U03","1"
"IG1203","1"
"IAM12M03","1"
"IAM12F03","1"
"IAM12U03","1"
"IAS12M03","1"
"IAS12F03","1"
"IAS12U03","1"
"IHI12M03","1"
"IHI12F03","1"
"IHI12U03","1"
"IBL12M03","1"
"IBL12F03","1"
"IBL12U03","1"
"IWH12M03","1"
"IWH12F03","1"
"IWH12U03","1"
"IUG03","1"
"IAMUGM03","1"
"IAMUGF03","1"
"IAMUGU03","1"
"IASUGM03","1"
"IASUGF03","1"
"IASUGU03","1"
"IHIUGM03","1"
"IHIUGF03","1"
"IHIUGU03","1"
"IBLUGM03","1"
"IBLUGF03","1"
"IBLUGU03","1"
"IWHUGM03","1"
"IWHUGF03","1"
"IWHUGU03","1"
"IMEMB03","1"
"IAM03","1"
"IAMALM03","1"
"IAMALF03","1"
"IAMALU03","1"
"IASIAN03","1"
"IASALM03","1"
"IASALF03","1"
"IASALU03","1"
"IHISP03","1"
