"variable name","field length"
"NCESSCH","12"
"STID02","14"
"SEASCH02","20"
"LEANM02","60"
"SCHNAM02","50"
"PHONE02","10"
"MSTREE02","30"
"MCITY02","30"
"MSTATE02","2"
"MZIP02","5"
"MZIP402","4"
"LSTREE02","30"
"LCITY02","30"
"LSTATE02","2"
"LZIP02","5"
"LZIP402","4"
"TYPE02","1"
"STATUS02","1"
"LOCALE02","1"
"					    1 =","rincipal"
"				","City: A"
"					    3 =","a Large"
"					    4 =","a Mid-s"
"					    5 =","incorpor"
"					    6 =","incorpor"
"					    7 =","CBSA: An"
"					    8 =","BSA: Any"
"INOUT02","1"
"LATCOD02","10"
"LONCOD02","10"
"CONUM02","5"
"CONAME02","30"
"FTE02","5*"
"GSLO02","2"
"GSHI02","2"
"LEVEL02","1"
"TITLEI02","1"
"STITLI02","1"
"MAGNET02","1"
"CHARTR02","1"
"FRELCH02","4"
"REDLCH02","4"
"TOTFRL02","4"
"MIGRNT02","4"
"PK02","4"
"AMPKM02","4"
"AMPKF02","4"
"AMPKU02","4"
"ASPKM02","4"
"ASPKF02","4"
"ASPKU02","4"
"HIPKM02","4"
"HIPKF02","4"
"HIPKU02","4"
"BLPKM02","4"
"BLPKF02","4"
"BLPKU02","4"
"WHPKM02","4"
"WHPKF02","4"
"WHPKU02","4"
"KG02","4"
"AMKGM02","4"
"AMKGF02","4"
"AMKGU02","4"
"ASKGM02","4"
"ASKGF02","4"
"ASKGU02","4"
"HIKGM02","4"
"HIKGF02","4"
"HIKGU02","4"
"BLKGM02","4"
"BLKGF02","4"
"BLKGU02","4"
"WHKGM02","4"
"WHKGF02","4"
"WHKGU02","4"
"G0102","4"
"AM01M02","4"
"AM01F02","4"
"AM01U02","4"
"AS01M02","4"
"AS01F02","4"
"AS01U02","4"
"HI01M02","4"
"HI01F02","4"
"HI01U02","4"
"BL01M02","4"
"BL01F02","4"
"BL01U02","4"
"WH01M02","4"
"WH01F02","4"
"WH01U02","4"
"G0202","4"
"AM02M02","4"
"AM02F02","4"
"AM02U02","4"
"AS02M02","4"
"AS02F02","4"
"AS02U02","4"
"HI02M02","4"
"HI02F02","4"
"HI02U02","4"
"BL02M02","4"
"BL02F02","4"
"BL02U02","4"
"WH02M02","4"
"WH02F02","4"
"WH02U02","4"
"G0302","4"
"AM03M02","4"
"AM03F02","4"
"AM03U02","4"
"AS03M02","4"
"AS03F02","4"
"AS03U02","4"
"HI03M02","4"
"HI03F02","4"
"HI03U02","4"
"BL03M02","4"
"BL03F02","4"
"BL03U02","4"
"WH03M02","4"
"WH03F02","4"
"WH03U02","4"
"G0402","4"
"AM04M02","4"
"AM04F02","4"
"AM04U02","4"
"AS04M02","4"
"AS04F02","4"
"AS04U02","4"
"HI04M02","4"
"HI04F02","4"
"HI04U02","4"
"BL04M02","4"
"BL04F02","4"
"BL04U02","4"
"WH04M02","4"
"WH04F02","4"
"WH04U02","4"
"G0502","4"
"AM05M02","4"
"AM05F02","4"
"AM05U02","4"
"AS05M02","4"
"AS05F02","4"
"AS05U02","4"
"HI05M02","4"
"HI05F02","4"
"HI05U02","4"
"BL05M02","4"
"BL05F02","4"
"BL05U02","4"
"WH05M02","4"
"WH05F02","4"
"WH05U02","4"
"G0602","4"
"AM06M02","4"
"AM06F02","4"
"AM06U02","4"
"AS06M02","4"
"AS06F02","4"
"AS06U02","4"
"HI06M02","4"
"HI06F02","4"
"HI06U02","4"
"BL06M02","4"
"BL06F02","4"
"BL06U02","4"
"WH06M02","4"
"WH06F02","4"
"WH06U02","4"
"G0702","4"
"AM07M02","4"
"AM07F02","4"
"AM07U02","4"
"AS07M02","4"
"AS07F02","4"
"AS07U02","4"
"HI07M02","4"
"HI07F02","4"
"HI07U02","4"
"BL07M02","4"
"BL07F02","4"
"BL07U02","4"
"WH07M02","4"
"WH07F02","4"
"WH07U02","4"
"G0802","4"
"AM08M02","4"
"AM08F02","4"
"AM08U02","4"
"AS08M02","4"
"AS08F02","4"
"AS08U02","4"
"HI08M02","4"
"HI08F02","4"
"HI08U02","4"
"BL08M02","4"
"BL08F02","4"
"BL08U02","4"
"WH08M02","4"
"WH08F02","4"
"WH08U02","4"
"G0902","4"
"AM09M02","4"
"AM09F02","4"
"AM09U02","4"
"AS09M02","4"
"AS09F02","4"
"AS09U02","4"
"HI09M02","4"
"HI09F02","4"
"HI09U02","4"
"BL09M02","4"
"BL09F02","4"
"BL09U02","4"
"WH09M02","4"
"WH09F02","4"
"WH09U02","4"
"G1002","4"
"AM10M02","4"
"AM10F02","4"
"AM10U02","4"
"AS10M02","4"
"AS10F02","4"
"AS10U02","4"
"HI10M02","4"
"HI10F02","4"
"HI10U02","4"
"BL10M02","4"
"BL10F02","4"
"BL10U02","4"
"WH10M02","4"
"WH10F02","4"
"WH10U02","4"
"G1102","4"
"AM11M02","4"
"AM11F02","4"
"AM11U02","4"
"AS11M02","4"
"AS11F02","4"
"AS11U02","4"
"HI11M02","4"
"HI11F02","4"
"HI11U02","4"
"BL11M02","4"
"BL11F02","4"
"BL11U02","4"
"WH11M02","4"
"WH11F02","4"
"WH11U02","4"
"G1202","4"
"AM12M02","4"
"AM12F02","4"
"AM12U02","4"
"AS12M02","4"
"AS12F02","4"
"AS12U02","4"
"HI12M02","4"
"HI12F02","4"
"HI12U02","4"
"BL12M02","4"
"BL12F02","4"
"BL12U02","4"
"WH12M02","4"
"WH12F02","4"
"WH12U02","4"
"UG02","4"
"AMUGM02","4"
"AMUGF02","4"
"AMUGU02","4"
"ASUGM02","4"
"ASUGF02","4"
"ASUGU02","4"
"HIUGM02","4"
"HIUGF02","4"
"HIUGU02","4"
"BLUGM02","4"
"BLUGF02","4"
"BLUGU02","4"
"WHUGM02","4"
"WHUGF02","4"
"WHUGU02","4"
"MEMBER02","4"
"AM02","4"
"AMALM02","4"
"AMALF02","4"
"AMALU02","4"
"ASIAN02","4"
"ASALM02","4"
"ASALF02","4"
"ASALU02","4"
"HISP02","4"
"HIALM02","4"
"HIALF02","4"
"HIALU02","4"
"BLACK02","4"
"BLALM02","4"
"BLALF02","4"
"BLALU02","4"
"WHITE02","4"
"WHALM02","4"
"WHALF02","4"
"WHALU02","4"
"TOTETH02","4"
"PUPTCH02","5*"
"TOTGRD02","4"
"ILOCAL02","1"
"IFTE02","1"
"IGSLO02","1"
"IGSHI02","1"
"ITITLI02","1"
"ISTITL02","1"
"IMAGNE02","1"
"ICHART02","1"
"IFRELC02","1"
"IREDLC02","1"
"ITOTFR02","1"
"IMIGRN02","1"
"IPK02","1"
"IAMPKM02","1"
"IAMPKF02","1"
"IAMPKU02","1"
"IASPKM02","1"
"IASPKF02","1"
"IASPKU02","1"
"IHIPKM02","1"
"IHIPKF02","1"
"IHIPKU02","1"
"IBLPKM02","1"
"IBLPKF02","1"
"IBLPKU02","1"
"IWHPKM02","1"
"IWHPKF02","1"
"IWHPKU02","1"
"IKG02","1"
"IAMKGM02","1"
"IAMKGF02","1"
"IAMKGU02","1"
"IASKGM02","1"
"IASKGF02","1"
"IASKGU02","1"
"IHIKGM02","1"
"IHIKGF02","1"
"IHIKGU02","1"
"IBLKGM02","1"
"IBLKGF02","1"
"IBLKGU02","1"
"IWHKGM02","1"
"IWHKGF02","1"
"IWHKGU02","1"
"IG0102","1"
"IAM01M02","1"
"IAM01F02","1"
"IAM01U02","1"
"IAS01M02","1"
"IAS01F02","1"
"IAS01U02","1"
"IHI01M02","1"
"IHI01F02","1"
"IHI01U02","1"
"IBL01M02","1"
"IBL01F02","1"
"IBL01U02","1"
"IWH01M02","1"
"IWH01F02","1"
"IWH01U02","1"
"IG0202","1"
"IAM02M02","1"
"IAM02F02","1"
"IAM02U02","1"
"IAS02M02","1"
"IAS02F02","1"
"IAS02U02","1"
"IHI02M02","1"
"IHI02F02","1"
"IHI02U02","1"
"IBL02M02","1"
"IBL02F02","1"
"IBL02U02","1"
"IWH02M02","1"
"IWH02F02","1"
"IWH02U02","1"
"IG0302","1"
"IAM03M02","1"
"IAM03F02","1"
"IAM03U02","1"
"IAS03M02","1"
"IAS03F02","1"
"IAS03U02","1"
"IHI03M02","1"
"IHI03F02","1"
"IHI03U02","1"
"IBL03M02","1"
"IBL03F02","1"
"IBL03U02","1"
"IWH03M02","1"
