"variable name","field length"
"AMALM06 ","4"
"AMALF06 ","4"
"AMALU06 ","4"
"ASIAN06 ","4"
"ASALM06 ","4"
"ASALF06 ","4"
"ASALU06 ","4"
"HISP06  ","4"
"HIALM06 ","4"
"HIALF06 ","4"
"HIALU06 ","4"
"BLACK06 ","4"
"BLALM06 ","4"
"BLALF06 ","4"
"BLALU06 ","4"
"WHITE06 ","4"
"WHALM06 ","4"
"WHALF06 ","4"
"WHALU06 ","4"
"TOTETH06","4"
"PUPTCH06","6*"
"TOTGRD06","4"
"IFTE06   ","1"
"IGSLO06  ","1"
"IGSHI06  ","1"
"ITITLI06","1"
"ISTITL06","1"
"IMAGNE06","1"
"ICHART06","1"
"ISHARE06","1"
"IFRELC06","1"
"IREDLC06","1"
"ITOTFR06","1"
"IMIGRN06","1"
"IPK06   ","1"
"IAMPKM06","1"
"IAMPKF06","1"
"IAMPKU06","1"
"IASPKM06","1"
"IASPKF06","1"
"IASPKU06","1"
"IHIPKM06","1"
"IHIPKF06","1"
"IHIPKU06","1"
"IBLPKM06","1"
"IBLPKF06","1"
"IBLPKU06","1"
"IWHPKM06","1"
"IWHPKF06","1"
"IWHPKU06","1"
"IKG06   ","1"
"IAMKGM06","1"
"IAMKGF06","1"
"IAMKGU06","1"
"IASKGM06","1"
"IASKGF06","1"
"IASKGU06","1"
"IHIKGM06","1"
"IHIKGF06","1"
"IHIKGU06","1"
"IBLKGM06","1"
"IBLKGF06","1"
"IBLKGU06","1"
"IWHKGM06","1"
"IWHKGU06","1"
"IG0106   ","1"
"IAM01M06","1"
"IAM01F06","1"
"IAM01U06","1"
"IAS01M06","1"
"IAS01F06","1"
"IAS01U06","1"
"IHI01M06","1"
"IHI01F06","1"
"IHI01U06","1"
"IBL01M06","1"
"IBL01F06","1"
"IBL01U06","1"
"IWH01M06","1"
"IWH01F06","1"
"IWH01U06","1"
"IG0206   ","1"
"IAM02M06","1"
"IAM02F06","1"
"IAM02U06","1"
"IAS02M06","1"
"IAS02F06","1"
"IAS02U06","1"
"IHI02M06","1"
"IHI02F06","1"
"IHI02U06","1"
"IBL02M06","1"
"IBL02F06","1"
"IBL02U06","1"
"IWH02M06","1"
"IWH02F06","1"
"IWH02U06","1"
"IG0306  ","1"
"IAM03M06","1"
"IAM03F06","1"
"IAM03U06","1"
"IAS03M06","1"
"IAS03F06","1"
"IAS03U06","1"
"IHI03M06","1"
"IHI03F06","1"
"IHI03U06","1"
"IBL03M06","1"
"IBL03F06","1"
"IBL03U06","1"
"IWH03M06","1"
"IWH03F06","1"
"IWH03U06","1"
"IG0406   ","1"
"IAM04M06","1"
"IAM04F06","1"
"IAM04U06","1"
"IAS04M06","1"
"IAS04F06","1"
"IAS04U06","1"
"IHI04M06","1"
"IHI04F06","1"
